Primary_AC	TaxID	ENSTs	ENSG
P31946	9606	ENST00000353703,ENST00000372839	ENSG00000166913
Q9CQV8	10090	ENSMUST00000018470	ENSMUSG00000018326
P62258	9606	ENST00000264335,ENST00000571732,ENST00000616643,ENST00000627231	ENSG00000108953,ENSG00000274474
P62259	10090	ENSMUST00000067664	ENSMUSG00000020849
Q04917	9606	ENST00000248975	ENSG00000128245
P68510	10090	ENSMUST00000019109	ENSMUSG00000018965
P61981	9606	ENST00000307630	ENSG00000170027
P61982	10090	ENSMUST00000055808,ENSMUST00000198270	ENSMUSG00000051391
P31947	9606	ENST00000339276	ENSG00000175793
O70456	10090	ENSMUST00000057311	ENSMUSG00000047281
P27348	9606	ENST00000238081,ENST00000381844	ENSG00000134308
P68254	10090	ENSMUST00000103002,ENSMUST00000135088,ENSMUST00000155480	ENSMUSG00000076432
P63104	9606	ENST00000353245,ENST00000395951,ENST00000395953,ENST00000395956,ENST00000395957,ENST00000395958,ENST00000419477,ENST00000457309,ENST00000522542	ENSG00000164924
P63101	10090	ENSMUST00000022894,ENSMUST00000110361,ENSMUST00000110362	ENSMUSG00000022285
